Date,Borough,Outcome type_Formal action is not in the public interest,Outcome type_Investigation complete; no suspect identified,Outcome type_Local resolution,Outcome type_Offender given a caution,Outcome type_Offender given a drugs possession warning,Outcome type_Offender given penalty notice,Outcome type_Suspect charged,Outcome type_Suspect charged as part of another case,Outcome type_Unable to prosecute suspect,Total
2022-09-01,Merton,0,1539,17,6,0,2,62,0,0,1626
2022-09-01,Middlesbrough,0,1,0,0,0,0,0,0,0,1
2022-09-01,Milton Keynes,0,2,0,0,0,0,0,0,0,2
2022-09-01,Mole Valley,0,1,0,0,0,0,0,0,0,1
2022-09-01,Newcastle,0,4,0,0,0,0,0,0,0,4
2022-09-01,Newcastle upon Tyne,0,2,0,0,0,0,0,0,0,2
2022-09-01,Newham,0,3011,134,15,0,36,136,0,0,3332
2022-09-01,North Hertfordshire,0,3,0,0,0,0,0,0,0,3
2022-09-01,North Kesteven,0,3,0,0,0,0,0,0,0,3
2022-09-01,Northampton,0,7,0,0,0,0,0,0,0,7
2022-09-01,Northumberland,0,1,0,0,0,0,0,0,0,1
2022-09-01,Norwich,0,2,0,0,0,0,0,0,0,2
2022-09-01,Nottingham,0,1,0,0,0,0,0,0,0,1
2022-09-01,Plymouth,0,1,0,0,0,0,0,0,0,1
2022-09-01,Portsmouth,0,2,0,0,0,0,0,0,0,2
2022-09-01,Reading,0,1,0,0,0,0,0,0,0,1
2022-09-01,Redbridge,0,3236,41,9,0,7,91,0,0,3384
2022-09-01,Reigate and Banstead,0,4,0,0,0,0,0,0,0,4
2022-09-01,Richmond upon Thames,0,1244,16,12,0,1,28,0,0,1301
2022-09-01,Rugby,0,1,0,0,0,0,0,0,0,1
2022-09-01,Runnymede,0,3,0,0,0,0,0,0,0,3
2022-09-01,Salford,0,1,0,0,0,0,0,0,0,1
2022-09-01,Sandwell,0,4,0,0,0,0,0,0,0,4
2022-09-01,Sedgemoor,0,1,0,0,0,0,0,0,0,1
2022-09-01,Sevenoaks,0,8,0,0,0,0,1,0,0,9
2022-09-01,Sheffield,0,1,0,0,0,0,0,0,0,1
2022-09-01,Slough,0,7,0,0,0,0,0,0,0,7
2022-09-01,Solihull,0,1,0,0,0,0,0,0,0,1
2022-09-01,South Bucks,0,5,0,0,0,0,0,0,0,5
2022-09-01,South Cambridgeshire,0,1,0,0,0,0,0,0,0,1
2022-09-01,South Derbyshire,0,6,0,0,0,0,0,0,0,6
