Date,Borough,Abstraction Type_Aid,Abstraction Type_CAD,Abstraction Type_Court,Abstraction Type_Custody,Abstraction Type_Local Aid,Abstraction Type_Not Abstracted,Abstraction Type_Staffing Up,Abstraction Type_Training
2019-05-01,Hillingdon,480.0,0.0,0.0,0.0,7560.0,281947.0,0.0,10500.0
2019-05-01,Hounslow,0.0,0.0,240.0,0.0,6180.0,222652.0,0.0,14010.0
2019-05-01,Islington,0.0,0.0,3780.0,0.0,11460.0,316727.0,0.0,13530.0
2019-05-01,Kensington And Chelsea,3390.0,540.0,3780.0,0.0,90.0,312525.0,0.0,16860.0
2019-05-01,Kingston,1140.0,0.0,1620.0,0.0,14040.0,196905.0,0.0,14160.0
2019-05-01,Lambeth,540.0,0.0,5835.0,0.0,14340.0,317250.0,2160.0,12060.0
2019-05-01,Lewisham,4260.0,0.0,2160.0,0.0,22020.0,305540.0,0.0,33510.0
2019-05-01,Merton,0.0,1260.0,2580.0,0.0,8760.0,307438.0,0.0,16980.0
2019-05-01,Newham,540.0,0.0,4500.0,0.0,30330.0,340612.0,480.0,10140.0
2019-05-01,Redbridge,4260.0,0.0,0.0,0.0,32790.0,289890.0,0.0,14910.0
2019-05-01,Richmond,1680.0,0.0,1050.0,0.0,11040.0,269400.0,0.0,16260.0
2019-05-01,Southwark,2250.0,0.0,3240.0,0.0,16620.0,373155.0,0.0,18660.0
2019-05-01,Sutton,450.0,0.0,3000.0,0.0,2880.0,304140.0,0.0,18840.0
2019-05-01,Tower Hamlets,150.0,0.0,2400.0,0.0,7980.0,345038.0,0.0,2820.0
2019-05-01,Waltham Forest,0.0,0.0,3240.0,0.0,6000.0,367520.0,0.0,15510.0
2019-05-01,Wandsworth,0.0,0.0,1680.0,0.0,2580.0,323370.0,0.0,17280.0
2019-05-01,Westminster,5460.0,0.0,6840.0,0.0,0.0,393120.0,0.0,10740.0
2019-06-01,Barking And Dagenham,1320.0,0.0,1080.0,0.0,29850.0,315780.0,0.0,38040.0
